"roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"00","Darrell Arthur","PF","6-9","235","March 25, 1988","us","6","University of Kansas"
"12","D.J. Augustin","PG","6-0","183","November 10, 1987","us","7","University of Texas at Austin"
"5","Will Barton","SG","6-6","175","January 6, 1991","us","3","University of Memphis"
"35","Kenneth Faried","PF","6-8","228","November 19, 1989","us","4","Morehead State University"
"4","Randy Foye","SG","6-4","213","September 24, 1983","us","9","Villanova University"
"8","Danilo Gallinari","SF","6-10","225","August 8, 1988","it","6",""
"11","Erick Green","PG","6-4","185","May 9, 1991","us","1","Virginia Polytechnic Institute and State University"
"14","Gary Harris","SG","6-4","210","September 14, 1994","us","1","Michigan State University"
"7","J.J. Hickson","C","6-9","242","September 4, 1988","us","7","North Carolina State University"
"15","Nikola Jokic","C","6-10","250","February 19, 1995","rs","R",""
"6","Sean Kilpatrick","SG","6-4","210","January 6, 1990","us","1","University of Cincinnati"
"77","Joffrey Lauvergne","C","6-11","220","September 30, 1991","fr","1",""
"3","Mike Miller","SF","6-8","218","February 19, 1980","us","15","University of Florida"
"0","Emmanuel Mudiay","PG","6-5","200","March 5, 1996","cd","R",""
"1","Jameer Nelson","PG","6-0","190","February 9, 1982","us","11","Saint Joseph's University"
"23","Jusuf Nurkic","C","7-0","280","August 23, 1994","ba","1",""
"16","Kostas Papanikolaou","SF","6-8","225","July 31, 1990","gr","1",""
"9","JaKarr Sampson","SF","6-9","214","March 20, 1993","us","1","St. John's University"
"6","Axel Toupane","SF","6-7","197","July 23, 1992","fr","R",""
